LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,Industry,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,adm1_code,iso_3166_2,name,type,region,geometry,ApprovalYear
1000653000,LARRY SCHOETTMER FORD INC,EDINBURGH,IN,46124,JPMORGAN CHASE BANK NATL ASSOC,IN,0,unknown,1980-06-11,1980,120,16,2.0,0,0,0,0,Y,N,4-Oct-89,31-Jul-80,197485.0,$0.00 ,CHGOFF,44374.0,200000.0,150000.0,USA-3547,IN,Indiana,State,Midwest,"POLYGON ((-88.05107988152758 37.81960399021895, -88.01880794956132 38.02173635512861, -87.87855811232117 38.29055715591093, -87.6711289131016 38.508580023750355, -87.59865271681224 38.6742029892458, -87.51504024936399 38.73505198826949, -87.50708207879104 38.86946238866065, -87.55999874545792 39.040382188466026, -87.64203508172127 39.1139435898335, -87.52826941603071 39.39227285415754, -87.52721004916873 40.55008331965696, -87.52615068230674 41.70843638769544, -87.52137061231974 41.70843638769544, -87.52085384799682 41.76083629003941, -87.37163814975403 41.76083629003941, -87.22133724643314 41.76083629003941, -86.91812577996058 41.76083629003949, -86.82446224643155 41.76083629003941, -86.82446224643155 41.7560562200524, -85.7481455146564 41.751301988281554, -84.80729855013442 41.7560562200524, -84.80675594759535 41.67774058691407, -84.8099340481813 40.77286041926722, -84.8178663805381 39.79974152277896, -84.82367997917093 39.10652802179962, -84.88137671582481 39.05942495376557, -84.79988298210053 38.85517385513195, -84.84326534700955 38.78109568944154, -85.01154964876804 38.77949372004049, -85.16763831250564 38.6911270208214, -85.4041871813217 38.72711965591269, -85.42589128288428 38.53503835708379, -85.5666320462312 38.46199372003923, -85.69840694857547 38.290014553371876, -85.83969031446145 38.25880198826758, -86.05983191602483 37.960887356104934, -86.26250688347356 38.04661855727716, -86.32547461622121 38.16937592218649, -86.49957251661253 37.969879055323716, -86.61016008171714 37.85874888768005, -86.82552161329352 37.97623525649561, -87.05571428093768 37.88096975356555, -87.13139441602912 37.78361135512766, -87.43936011427255 37.9360051539564, -87.65366227898694 37.82647695571377, -87.91137264682652 37.90424998631303, -87.92142371290728 37.793662421208424, -88.05107988152758 37.81960399021895))",1980
1009243002,F & S CUTTERS INC,KOKOMO,IN,46901,KEYBANK NATIONAL ASSOCIATION,IN,0,unknown,1980-07-18,1980,84,2,2.0,0,0,0,0,N,N,27-Mar-01,22-Sep-80,120000.0,$0.00 ,CHGOFF,13911.0,120000.0,108000.0,USA-3547,IN,Indiana,State,Midwest,"POLYGON ((-88.05107988152758 37.81960399021895, -88.01880794956132 38.02173635512861, -87.87855811232117 38.29055715591093, -87.6711289131016 38.508580023750355, -87.59865271681224 38.6742029892458, -87.51504024936399 38.73505198826949, -87.50708207879104 38.86946238866065, -87.55999874545792 39.040382188466026, -87.64203508172127 39.1139435898335, -87.52826941603071 39.39227285415754, -87.52721004916873 40.55008331965696, -87.52615068230674 41.70843638769544, -87.52137061231974 41.70843638769544, -87.52085384799682 41.76083629003941, -87.37163814975403 41.76083629003941, -87.22133724643314 41.76083629003941, -86.91812577996058 41.76083629003949, -86.82446224643155 41.76083629003941, -86.82446224643155 41.7560562200524, -85.7481455146564 41.751301988281554, -84.80729855013442 41.7560562200524, -84.80675594759535 41.67774058691407, -84.8099340481813 40.77286041926722, -84.8178663805381 39.79974152277896, -84.82367997917093 39.10652802179962, -84.88137671582481 39.05942495376557, -84.79988298210053 38.85517385513195, -84.84326534700955 38.78109568944154, -85.01154964876804 38.77949372004049, -85.16763831250564 38.6911270208214, -85.4041871813217 38.72711965591269, -85.42589128288428 38.53503835708379, -85.5666320462312 38.46199372003923, -85.69840694857547 38.290014553371876, -85.83969031446145 38.25880198826758, -86.05983191602483 37.960887356104934, -86.26250688347356 38.04661855727716, -86.32547461622121 38.16937592218649, -86.49957251661253 37.969879055323716, -86.61016008171714 37.85874888768005, -86.82552161329352 37.97623525649561, -87.05571428093768 37.88096975356555, -87.13139441602912 37.78361135512766, -87.43936011427255 37.9360051539564, -87.65366227898694 37.82647695571377, -87.91137264682652 37.90424998631303, -87.92142371290728 37.793662421208424, -88.05107988152758 37.81960399021895))",1980
1015113005,BRAVE-OWL CENTER,SEYMOUR,IN,47274,"PNC BANK, NATIONAL ASSOCIATION",IN,0,unknown,1980-07-28,1980,228,20,1.0,0,0,0,0,Y,N,7-Apr-89,27-Aug-80,424500.0,$0.00 ,CHGOFF,309931.0,424500.0,382050.0,USA-3547,IN,Indiana,State,Midwest,"POLYGON ((-88.05107988152758 37.81960399021895, -88.01880794956132 38.02173635512861, -87.87855811232117 38.29055715591093, -87.6711289131016 38.508580023750355, -87.59865271681224 38.6742029892458, -87.51504024936399 38.73505198826949, -87.50708207879104 38.86946238866065, -87.55999874545792 39.040382188466026, -87.64203508172127 39.1139435898335, -87.52826941603071 39.39227285415754, -87.52721004916873 40.55008331965696, -87.52615068230674 41.70843638769544, -87.52137061231974 41.70843638769544, -87.52085384799682 41.76083629003941, -87.37163814975403 41.76083629003941, -87.22133724643314 41.76083629003941, -86.91812577996058 41.76083629003949, -86.82446224643155 41.76083629003941, -86.82446224643155 41.7560562200524, -85.7481455146564 41.751301988281554, -84.80729855013442 41.7560562200524, -84.80675594759535 41.67774058691407, -84.8099340481813 40.77286041926722, -84.8178663805381 39.79974152277896, -84.82367997917093 39.10652802179962, -84.88137671582481 39.05942495376557, -84.79988298210053 38.85517385513195, -84.84326534700955 38.78109568944154, -85.01154964876804 38.77949372004049, -85.16763831250564 38.6911270208214, -85.4041871813217 38.72711965591269, -85.42589128288428 38.53503835708379, -85.5666320462312 38.46199372003923, -85.69840694857547 38.290014553371876, -85.83969031446145 38.25880198826758, -86.05983191602483 37.960887356104934, -86.26250688347356 38.04661855727716, -86.32547461622121 38.16937592218649, -86.49957251661253 37.969879055323716, -86.61016008171714 37.85874888768005, -86.82552161329352 37.97623525649561, -87.05571428093768 37.88096975356555, -87.13139441602912 37.78361135512766, -87.43936011427255 37.9360051539564, -87.65366227898694 37.82647695571377, -87.91137264682652 37.90424998631303, -87.92142371290728 37.793662421208424, -88.05107988152758 37.81960399021895))",1980
1018943002,GRAMAC,ANGOLA,IN,46703,KEYBANK NATIONAL ASSOCIATION,IN,0,unknown,1980-08-05,1980,204,30,2.0,0,0,0,0,Y,N,19-Aug-91,12-Nov-80,175300.0,$0.00 ,CHGOFF,26116.0,175300.0,157770.0,USA-3547,IN,Indiana,State,Midwest,"POLYGON ((-88.05107988152758 37.81960399021895, -88.01880794956132 38.02173635512861, -87.87855811232117 38.29055715591093, -87.6711289131016 38.508580023750355, -87.59865271681224 38.6742029892458, -87.51504024936399 38.73505198826949, -87.50708207879104 38.86946238866065, -87.55999874545792 39.040382188466026, -87.64203508172127 39.1139435898335, -87.52826941603071 39.39227285415754, -87.52721004916873 40.55008331965696, -87.52615068230674 41.70843638769544, -87.52137061231974 41.70843638769544, -87.52085384799682 41.76083629003941, -87.37163814975403 41.76083629003941, -87.22133724643314 41.76083629003941, -86.91812577996058 41.76083629003949, -86.82446224643155 41.76083629003941, -86.82446224643155 41.7560562200524, -85.7481455146564 41.751301988281554, -84.80729855013442 41.7560562200524, -84.80675594759535 41.67774058691407, -84.8099340481813 40.77286041926722, -84.8178663805381 39.79974152277896, -84.82367997917093 39.10652802179962, -84.88137671582481 39.05942495376557, -84.79988298210053 38.85517385513195, -84.84326534700955 38.78109568944154, -85.01154964876804 38.77949372004049, -85.16763831250564 38.6911270208214, -85.4041871813217 38.72711965591269, -85.42589128288428 38.53503835708379, -85.5666320462312 38.46199372003923, -85.69840694857547 38.290014553371876, -85.83969031446145 38.25880198826758, -86.05983191602483 37.960887356104934, -86.26250688347356 38.04661855727716, -86.32547461622121 38.16937592218649, -86.49957251661253 37.969879055323716, -86.61016008171714 37.85874888768005, -86.82552161329352 37.97623525649561, -87.05571428093768 37.88096975356555, -87.13139441602912 37.78361135512766, -87.43936011427255 37.9360051539564, -87.65366227898694 37.82647695571377, -87.91137264682652 37.90424998631303, -87.92142371290728 37.793662421208424, -88.05107988152758 37.81960399021895))",1980
1022505005,"C. Knight Trucking, Inc.",NOBLESVILLE,IN,46060,"PNC BANK, NATIONAL ASSOCIATION",DE,484220,Trans/Ware,2004-07-12,2004,16,2,1.0,0,0,1,2,Y,N,22-May-08,31-Jul-04,26691.0,$0.00 ,CHGOFF,19051.0,20000.0,10000.0,USA-3547,IN,Indiana,State,Midwest,"POLYGON ((-88.05107988152758 37.81960399021895, -88.01880794956132 38.02173635512861, -87.87855811232117 38.29055715591093, -87.6711289131016 38.508580023750355, -87.59865271681224 38.6742029892458, -87.51504024936399 38.73505198826949, -87.50708207879104 38.86946238866065, -87.55999874545792 39.040382188466026, -87.64203508172127 39.1139435898335, -87.52826941603071 39.39227285415754, -87.52721004916873 40.55008331965696, -87.52615068230674 41.70843638769544, -87.52137061231974 41.70843638769544, -87.52085384799682 41.76083629003941, -87.37163814975403 41.76083629003941, -87.22133724643314 41.76083629003941, -86.91812577996058 41.76083629003949, -86.82446224643155 41.76083629003941, -86.82446224643155 41.7560562200524, -85.7481455146564 41.751301988281554, -84.80729855013442 41.7560562200524, -84.80675594759535 41.67774058691407, -84.8099340481813 40.77286041926722, -84.8178663805381 39.79974152277896, -84.82367997917093 39.10652802179962, -84.88137671582481 39.05942495376557, -84.79988298210053 38.85517385513195, -84.84326534700955 38.78109568944154, -85.01154964876804 38.77949372004049, -85.16763831250564 38.6911270208214, -85.4041871813217 38.72711965591269, -85.42589128288428 38.53503835708379, -85.5666320462312 38.46199372003923, -85.69840694857547 38.290014553371876, -85.83969031446145 38.25880198826758, -86.05983191602483 37.960887356104934, -86.26250688347356 38.04661855727716, -86.32547461622121 38.16937592218649, -86.49957251661253 37.969879055323716, -86.61016008171714 37.85874888768005, -86.82552161329352 37.97623525649561, -87.05571428093768 37.88096975356555, -87.13139441602912 37.78361135512766, -87.43936011427255 37.9360051539564, -87.65366227898694 37.82647695571377, -87.91137264682652 37.90424998631303, -87.92142371290728 37.793662421208424, -88.05107988152758 37.81960399021895))",2004
1023435010,"Keystone Realty Group, Inc.",INDIANAPOLIS,IN,46227,"PNC BANK, NATIONAL ASSOCIATION",DE,531320,RE/Rental/Lease,2004-07-14,2004,56,9,1.0,0,0,1,1,N,N,7-Dec-09,31-Jul-04,39380.0,$0.00 ,CHGOFF,29042.0,30000.0,15000.0,USA-3547,IN,Indiana,State,Midwest,"POLYGON ((-88.05107988152758 37.81960399021895, -88.01880794956132 38.02173635512861, -87.87855811232117 38.29055715591093, -87.6711289131016 38.508580023750355, -87.59865271681224 38.6742029892458, -87.51504024936399 38.73505198826949, -87.50708207879104 38.86946238866065, -87.55999874545792 39.040382188466026, -87.64203508172127 39.1139435898335, -87.52826941603071 39.39227285415754, -87.52721004916873 40.55008331965696, -87.52615068230674 41.70843638769544, -87.52137061231974 41.70843638769544, -87.52085384799682 41.76083629003941, -87.37163814975403 41.76083629003941, -87.22133724643314 41.76083629003941, -86.91812577996058 41.76083629003949, -86.82446224643155 41.76083629003941, -86.82446224643155 41.7560562200524, -85.7481455146564 41.751301988281554, -84.80729855013442 41.7560562200524, -84.80675594759535 41.67774058691407, -84.8099340481813 40.77286041926722, -84.8178663805381 39.79974152277896, -84.82367997917093 39.10652802179962, -84.88137671582481 39.05942495376557, -84.79988298210053 38.85517385513195, -84.84326534700955 38.78109568944154, -85.01154964876804 38.77949372004049, -85.16763831250564 38.6911270208214, -85.4041871813217 38.72711965591269, -85.42589128288428 38.53503835708379, -85.5666320462312 38.46199372003923, -85.69840694857547 38.290014553371876, -85.83969031446145 38.25880198826758, -86.05983191602483 37.960887356104934, -86.26250688347356 38.04661855727716, -86.32547461622121 38.16937592218649, -86.49957251661253 37.969879055323716, -86.61016008171714 37.85874888768005, -86.82552161329352 37.97623525649561, -87.05571428093768 37.88096975356555, -87.13139441602912 37.78361135512766, -87.43936011427255 37.9360051539564, -87.65366227898694 37.82647695571377, -87.91137264682652 37.90424998631303, -87.92142371290728 37.793662421208424, -88.05107988152758 37.81960399021895))",2004
1024425009,Matthew P. Stahl dba Old Tyme,GREENWOOD,IN,46143,"PNC BANK, NATIONAL ASSOCIATION",DE,722320,Accom/Food_serv,2004-07-16,2004,43,5,2.0,0,0,1,1,Y,N,4-May-06,31-Oct-04,10000.0,$0.00 ,CHGOFF,9817.0,10000.0,5000.0,USA-3547,IN,Indiana,State,Midwest,"POLYGON ((-88.05107988152758 37.81960399021895, -88.01880794956132 38.02173635512861, -87.87855811232117 38.29055715591093, -87.6711289131016 38.508580023750355, -87.59865271681224 38.6742029892458, -87.51504024936399 38.73505198826949, -87.50708207879104 38.86946238866065, -87.55999874545792 39.040382188466026, -87.64203508172127 39.1139435898335, -87.52826941603071 39.39227285415754, -87.52721004916873 40.55008331965696, -87.52615068230674 41.70843638769544, -87.52137061231974 41.70843638769544, -87.52085384799682 41.76083629003941, -87.37163814975403 41.76083629003941, -87.22133724643314 41.76083629003941, -86.91812577996058 41.76083629003949, -86.82446224643155 41.76083629003941, -86.82446224643155 41.7560562200524, -85.7481455146564 41.751301988281554, -84.80729855013442 41.7560562200524, -84.80675594759535 41.67774058691407, -84.8099340481813 40.77286041926722, -84.8178663805381 39.79974152277896, -84.82367997917093 39.10652802179962, -84.88137671582481 39.05942495376557, -84.79988298210053 38.85517385513195, -84.84326534700955 38.78109568944154, -85.01154964876804 38.77949372004049, -85.16763831250564 38.6911270208214, -85.4041871813217 38.72711965591269, -85.42589128288428 38.53503835708379, -85.5666320462312 38.46199372003923, -85.69840694857547 38.290014553371876, -85.83969031446145 38.25880198826758, -86.05983191602483 37.960887356104934, -86.26250688347356 38.04661855727716, -86.32547461622121 38.16937592218649, -86.49957251661253 37.969879055323716, -86.61016008171714 37.85874888768005, -86.82552161329352 37.97623525649561, -87.05571428093768 37.88096975356555, -87.13139441602912 37.78361135512766, -87.43936011427255 37.9360051539564, -87.65366227898694 37.82647695571377, -87.91137264682652 37.90424998631303, -87.92142371290728 37.793662421208424, -88.05107988152758 37.81960399021895))",2004
1027665006,"Gibson Surveying Group, Inc.",Greenfield,IN,46140,"PNC BANK, NATIONAL ASSOCIATION",DE,541370,Prof/Science/Tech,2004-07-26,2004,53,9,1.0,0,0,1,2,N,N,22-Apr-10,31-Aug-04,40037.0,$0.00 ,CHGOFF,34185.0,35000.0,17500.0,USA-3547,IN,Indiana,State,Midwest,"POLYGON ((-88.05107988152758 37.81960399021895, -88.01880794956132 38.02173635512861, -87.87855811232117 38.29055715591093, -87.6711289131016 38.508580023750355, -87.59865271681224 38.6742029892458, -87.51504024936399 38.73505198826949, -87.50708207879104 38.86946238866065, -87.55999874545792 39.040382188466026, -87.64203508172127 39.1139435898335, -87.52826941603071 39.39227285415754, -87.52721004916873 40.55008331965696, -87.52615068230674 41.70843638769544, -87.52137061231974 41.70843638769544, -87.52085384799682 41.76083629003941, -87.37163814975403 41.76083629003941, -87.22133724643314 41.76083629003941, -86.91812577996058 41.76083629003949, -86.82446224643155 41.76083629003941, -86.82446224643155 41.7560562200524, -85.7481455146564 41.751301988281554, -84.80729855013442 41.7560562200524, -84.80675594759535 41.67774058691407, -84.8099340481813 40.77286041926722, -84.8178663805381 39.79974152277896, -84.82367997917093 39.10652802179962, -84.88137671582481 39.05942495376557, -84.79988298210053 38.85517385513195, -84.84326534700955 38.78109568944154, -85.01154964876804 38.77949372004049, -85.16763831250564 38.6911270208214, -85.4041871813217 38.72711965591269, -85.42589128288428 38.53503835708379, -85.5666320462312 38.46199372003923, -85.69840694857547 38.290014553371876, -85.83969031446145 38.25880198826758, -86.05983191602483 37.960887356104934, -86.26250688347356 38.04661855727716, -86.32547461622121 38.16937592218649, -86.49957251661253 37.969879055323716, -86.61016008171714 37.85874888768005, -86.82552161329352 37.97623525649561, -87.05571428093768 37.88096975356555, -87.13139441602912 37.78361135512766, -87.43936011427255 37.9360051539564, -87.65366227898694 37.82647695571377, -87.91137264682652 37.90424998631303, -87.92142371290728 37.793662421208424, -88.05107988152758 37.81960399021895))",2004
1028825008,"Elements Alternative Gifts, In",Muncie,IN,47303,"PNC BANK, NATIONAL ASSOCIATION",DE,453220,Retail_trade,2004-07-27,2004,16,1,2.0,0,0,1,1,Y,N,16-May-08,31-Aug-04,13852.0,$0.00 ,CHGOFF,9750.0,10000.0,5000.0,USA-3547,IN,Indiana,State,Midwest,"POLYGON ((-88.05107988152758 37.81960399021895, -88.01880794956132 38.02173635512861, -87.87855811232117 38.29055715591093, -87.6711289131016 38.508580023750355, -87.59865271681224 38.6742029892458, -87.51504024936399 38.73505198826949, -87.50708207879104 38.86946238866065, -87.55999874545792 39.040382188466026, -87.64203508172127 39.1139435898335, -87.52826941603071 39.39227285415754, -87.52721004916873 40.55008331965696, -87.52615068230674 41.70843638769544, -87.52137061231974 41.70843638769544, -87.52085384799682 41.76083629003941, -87.37163814975403 41.76083629003941, -87.22133724643314 41.76083629003941, -86.91812577996058 41.76083629003949, -86.82446224643155 41.76083629003941, -86.82446224643155 41.7560562200524, -85.7481455146564 41.751301988281554, -84.80729855013442 41.7560562200524, -84.80675594759535 41.67774058691407, -84.8099340481813 40.77286041926722, -84.8178663805381 39.79974152277896, -84.82367997917093 39.10652802179962, -84.88137671582481 39.05942495376557, -84.79988298210053 38.85517385513195, -84.84326534700955 38.78109568944154, -85.01154964876804 38.77949372004049, -85.16763831250564 38.6911270208214, -85.4041871813217 38.72711965591269, -85.42589128288428 38.53503835708379, -85.5666320462312 38.46199372003923, -85.69840694857547 38.290014553371876, -85.83969031446145 38.25880198826758, -86.05983191602483 37.960887356104934, -86.26250688347356 38.04661855727716, -86.32547461622121 38.16937592218649, -86.49957251661253 37.969879055323716, -86.61016008171714 37.85874888768005, -86.82552161329352 37.97623525649561, -87.05571428093768 37.88096975356555, -87.13139441602912 37.78361135512766, -87.43936011427255 37.9360051539564, -87.65366227898694 37.82647695571377, -87.91137264682652 37.90424998631303, -87.92142371290728 37.793662421208424, -88.05107988152758 37.81960399021895))",2004
